Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
01-Nov-2008,6.76,0,2.46,0.6,0.11,0.59,0.37,0.44,1.66
02-Nov-2008,6.71,0,1.66,0.42,0.18,1.19,0.46,0.72,2.32
03-Nov-2008,4.7,0,2.58,0.45,0.4,1.03,0.25,0.48,2.61
04-Nov-2008,5.63,0,3.22,0.72,0.52,1.44,0.15,0.47,0.25
05-Nov-2008,6.33,0,2.2,1.18,0.74,1.81,0.33,0.68,0.97
06-Nov-2008,5.72,0,0.08,0.59,0.27,1.51,0.48,0.29,1.41
07-Nov-2008,8.26,0,0.81,0.24,0.22,1.05,0.52,0.18,2.54
08-Nov-2008,11.45,0,0.78,0.42,0.14,0.86,0.46,0.76,2.25
09-Nov-2008,6.12,0,1.57,0.76,0.31,1.25,0.25,0.24,0.84
10-Nov-2008,6.97,0,1.68,0.1,0.01,0.28,0.18,0.47,1.44
11-Nov-2008,9.02,0,1.37,0.72,0.52,1.51,0.21,0.54,3.34
12-Nov-2008,6.01,0,1.06,0.18,0.29,0.76,0.23,0.22,1.29
13-Nov-2008,9.32,0,0.84,1.36,1.1,1.34,0.14,0.6,0.66
14-Nov-2008,6.57,0,0.44,0.26,0.33,0.75,0.43,0.4,1.17
15-Nov-2008,5.37,0,0.9,0.39,0.29,0.54,0.2,0.71,0.95
16-Nov-2008,5.99,0,1.41,1.43,1.34,2.24,0.29,1.04,0.59
17-Nov-2008,4.84,0,0.76,0.83,0.89,1.18,0.28,0.31,1.14
18-Nov-2008,3.28,0,1.65,2.02,1.92,2.93,0.15,0.31,0.79
19-Nov-2008,5.46,0,0.49,0.77,0.46,0.95,0.28,0.83,1.74
20-Nov-2008,5.49,0,1.48,1.09,1.09,1.42,0.34,0.31,1.6
21-Nov-2008,6.96,0,1.18,2.11,1.74,3.09,0.26,0.43,0.89
22-Nov-2008,6.45,0,1.36,0.4,0.4,1.05,0.28,0.75,0.71
23-Nov-2008,4.29,0,1.34,1.25,1.09,0.96,0.05,0.37,0.67
24-Nov-2008,3.88,0,3.51,0.55,0.39,0.65,0.14,0.49,1.27
25-Nov-2008,6.66,0,3.76,1.2,1.08,1.81,0.41,0.37,1.88
26-Nov-2008,8.99,0,3.56,0.83,0.65,0.67,0.3,0.53,2.91
27-Nov-2008,14.77,0,2.03,1.01,0.6,1.7,0.81,0.6,8.82
28-Nov-2008,6.7,0,3.01,0.81,0.37,1.4,0.04,0.49,0.68
30-Nov-2008,8.37,0,1.08,0.74,0.69,1.07,0.09,0,1.27
01-Dec-2008,6.89,0,1.89,0.85,0.26,1.6,0.87,0.54,1.18
02-Dec-2008,5.13,0,3.27,1.19,0.65,1.93,0.46,0.58,0.85
03-Dec-2008,6.36,0,2.64,0.43,0.36,1.06,0.43,0.38,0.85
