Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
5-Oct-2009,61.30,110.15,14.03,7.44,3.74,12.13,2.94,5.32,8.88
6-Oct-2009,59.17,164.73,10.41,7.13,5.20,11.97,2.52,6.38,7.08
7-Oct-2009,84.45,144.29,10.30,9.44,6.88,20.98,9.89,7.11,10.39
8-Oct-2009,57.70,156.81,9.11,7.27,6.30,15.30,3.79,5.86,5.51
9-Oct-2009,64.34,167.59,12.31,4.23,3.35,8.75,4.61,7.41,10.01
10-Oct-2009,82.95,196.78,8.12,12.35,10.95,15.83,4.71,5.85,6.57
12-Oct-2009,92.33,158.39,5.55,6.74,4.05,11.21,3.14,14.60,11.38
13-Oct-2009,88.85,215.40,9.03,5.66,6.26,12.66,3.20,17.19,10.38
14-Oct-2009,97.49,155.79,11.21,7.12,3.83,15.96,4.72,12.67,11.47
16-Oct-2009,87.58,136.42,12.19,5.87,5.35,11.80,5.45,14.35,7.86
17-Oct-2009,65.27,164.21,6.95,6.80,6.45,11.74,3.14,6.50,6.35
18-Oct-2009,67.99,153.68,10.99,4.38,4.73,8.23,4.62,9.00,11.41
19-Oct-2009,64.98,174.65,8.79,7.98,13.60,18.24,9.25,7.97,16.35
20-Oct-2009,73.01,200.21,9.02,8.28,7.54,22.10,14.50,9.55,22.55
21-Oct-2009,78.15,162.78,11.30,10.82,6.91,19.14,7.07,10.13,16.47
22-Oct-2009,75.47,195.31,8.04,5.66,6.80,16.99,8.10,7.88,23.32
23-Oct-2009,61.99,117.81,5.66,3.46,4.47,10.65,5.76,10.20,12.21
24-Oct-2009,61.70,180.80,7.10,4.88,8.26,12.11,4.83,7.76,12.25
25-Oct-2009,65.34,137.28,7.36,5.24,4.90,12.46,6.04,11.99,16.91
26-Oct-2009,66.50,147.12,5.44,7.60,6.19,11.93,3.92,10.63,10.87
27-Oct-2009,65.46,173.25,6.74,4.83,4.72,11.86,3.29,11.60,13.16
28-Oct-2009,87.18,186.21,6.26,7.07,5.74,16.21,5.01,12.21,17.53
29-Oct-2009,64.84,190.55,6.90,7.14,5.64,17.62,4.79,13.59,13.58
30-Oct-2009,76.47,143.16,5.40,6.51,4.35,14.20,5.41,13.66,12.62
31-Oct-2009,59.60,184.35,8.47,6.73,4.11,16.05,2.85,9.34,7.50
1-Nov-2009,70.90,148.61,9.12,4.55,3.75,11.90,4.83,14.21,12.47
2-Nov-2009,85.15,140.79,7.67,7.73,5.89,14.59,3.32,4.73,8.80
3-Nov-2009,74.43,145.52,12.47,4.64,2.84,10.14,4.10,15.17,15.83
4-Nov-2009,79.18,156.44,7.56,8.10,4.38,12.17,3.00,15.42,9.74
6-Nov-2009,71.25,131.19,7.98,5.58,3.02,11.58,3.95,11.26,12.25
7-Nov-2009,58.81,155.33,5.52,3.76,3.41,10.49,2.50,8.84,12.17
8-Nov-2009,71.98,125.91,3.96,3.13,3.12,8.84,4.25,13.57,13.70
9-Nov-2009,74.20,161.01,6.23,2.20,2.87,8.51,2.62,11.03,9.50
10-Nov-2009,64.74,135.09,8.76,4.40,1.92,8.55,2.88,8.75,12.24
11-Nov-2009,64.19,135.54,7.90,5.61,5.71,12.59,4.15,8.14,11.11
13-Nov-2009,74.86,143.66,10.28,8.44,3.48,12.24,3.38,10.10,13.12
14-Nov-2009,69.48,163.82,9.90,7.54,4.43,15.31,4.14,9.75,13.71
15-Nov-2009,60.88,118.38,9.97,5.73,5.69,14.38,5.00,9.05,12.87
17-Nov-2009,96.28,123.59,15.50,4.83,3.60,12.43,6.07,8.12,14.35
18-Nov-2009,67.07,148.93,9.30,8.57,4.92,13.31,2.74,9.31,8.45
19-Nov-2009,67.84,145.14,13.25,4.69,2.37,11.42,2.90,9.57,12.85
20-Nov-2009,64.57,140.79,9.62,6.52,3.95,12.94,4.16,7.38,12.30
22-Nov-2009,61.90,127.15,9.50,3.93,1.91,9.36,3.22,9.63,7.28
24-Nov-2009,74.09,123.93,9.85,7.50,6.74,15.04,9.23,6.81,16.75
25-Nov-2009,67.73,141.11,6.97,5.59,3.53,11.90,2.63,6.60,12.25
26-Nov-2009,66.41,132.26,12.05,3.50,3.10,11.21,7.13,8.10,15.15
27-Nov-2009,72.06,140.06,7.18,5.76,4.21,12.75,5.82,8.11,8.58
28-Nov-2009,57.69,132.79,10.09,6.67,3.52,8.38,3.31,8.37,9.34
29-Nov-2009,71.24,149.17,8.01,7.73,5.22,13.83,4.24,8.27,9.53
30-Nov-2009,63.16,157.67,7.17,7.01,6.09,11.79,3.00,8.11,6.66
1-Dec-2009,67.73,118.80,6.32,5.71,3.82,13.24,3.75,7.51,9.19
2-Dec-2009,65.66,165.48,3.97,6.08,6.65,12.43,3.07,7.75,6.79
3-Dec-2009,69.06,129.47,8.76,3.91,5.15,10.50,5.12,9.79,8.51
4-Dec-2009,83.24,140.13,7.47,7.63,9.97,13.93,5.30,4.54,6.99
5-Dec-2009,65.29,135.39,9.78,4.83,4.67,8.51,3.76,10.99,7.03
6-Dec-2009,62.26,130.44,7.11,9.57,9.22,15.68,5.81,9.44,8.42
7-Dec-2009,66.79,165.81,6.67,7.76,7.78,18.76,7.99,11.09,15.72
8-Dec-2009,71.97,123.76,8.09,10.26,8.94,19.49,8.13,9.97,13.20
9-Dec-2009,63.98,163.12,5.72,6.81,6.55,14.80,4.12,9.12,9.27
10-Dec-2009,71.94,125.73,7.11,9.65,6.34,19.51,7.04,11.45,12.26
11-Dec-2009,64.95,156.72,5.94,5.34,4.95,12.19,3.62,9.01,6.45
12-Dec-2009,68.00,151.75,5.89,5.98,5.70,10.19,5.38,10.91,15.23
13-Dec-2009,71.25,163.56,5.25,5.82,6.64,11.87,5.65,9.95,14.22
14-Dec-2009,75.21,176.06,8.13,5.32,5.26,12.26,5.02,11.28,15.30
15-Dec-2009,79.52,167.71,8.15,8.14,5.27,15.14,5.64,12.22,14.78
16-Dec-2009,80.46,191.62,7.42,9.61,4.33,20.26,5.61,11.00,15.04
17-Dec-2009,125.69,182.01,11.36,9.17,6.92,19.10,13.92,12.17,24.70
19-Dec-2009,85.63,153.43,5.99,6.30,4.67,13.01,4.63,10.22,12.95
20-Dec-2009,63.50,159.04,9.57,10.34,6.58,11.26,3.29,6.89,7.80
21-Dec-2009,69.00,145.59,7.64,4.83,3.22,11.19,2.75,10.94,11.02
22-Dec-2009,72.63,152.16,7.43,9.96,8.75,15.55,3.91,8.45,14.43
23-Dec-2009,58.35,172.90,8.06,2.98,2.71,11.07,4.41,7.53,13.59
24-Dec-2009,71.33,142.75,7.45,7.87,3.82,14.07,4.94,9.53,14.56
26-Dec-2009,71.05,134.37,4.46,6.99,4.47,14.96,4.27,10.56,11.57
27-Dec-2009,66.04,159.93,6.48,5.22,4.72,15.81,3.21,7.90,7.58
28-Dec-2009,72.96,137.57,8.74,4.25,2.70,9.44,4.22,12.27,11.28
29-Dec-2009,72.89,144.59,7.34,6.00,5.37,12.04,3.79,10.77,6.65
31-Dec-2009,70.78,137.32,6.98,6.15,3.54,11.57,3.72,10.15,8.40
1-Jan-2010,80.69,133.41,7.86,5.45,5.11,14.77,5.24,11.89,11.42
2-Jan-2010,92.25,140.99,6.22,6.34,3.05,13.54,4.34,14.08,10.23
3-Jan-2010,80.71,173.12,8.45,5.27,4.82,16.27,4.26,9.84,8.40
4-Jan-2010,83.01,148.06,6.21,4.47,2.66,11.33,4.06,10.71,10.71
5-Jan-2010,101.84,151.04,6.02,6.58,7.30,12.83,3.54,4.44,8.79
6-Jan-2010,83.19,155.21,7.82,4.81,3.50,9.05,4.88,9.31,12.04
7-Jan-2010,79.30,155.23,5.06,7.22,4.75,14.09,3.44,9.11,8.46
8-Jan-2010,67.51,171.50,8.06,6.11,4.26,11.53,2.44,7.71,10.83
9-Jan-2010,80.01,136.69,8.21,7.38,5.60,12.71,4.31,10.85,10.51
10-Jan-2010,72.37,170.76,7.14,10.17,5.42,14.94,4.16,6.81,8.08
11-Jan-2010,72.78,130.37,6.85,6.67,6.23,15.20,5.18,8.61,10.92
12-Jan-2010,71.48,161.37,5.65,11.42,10.37,18.66,4.50,6.47,6.76
13-Jan-2010,63.84,136.06,12.78,6.17,5.23,12.90,3.32,8.94,7.05
14-Jan-2010,61.96,137.06,7.07,14.02,9.53,15.52,2.68,7.57,7.33
16-Jan-2010,69.30,146.66,9.80,17.90,5.64,19.78,2.30,10.14,6.12
17-Jan-2010,60.57,175.18,8.91,17.36,7.24,19.65,1.92,9.06,5.47
18-Jan-2010,69.15,126.06,5.49,15.34,7.92,20.55,2.54,8.77,5.80
20-Jan-2010,85.07,148.07,5.21,5.59,6.35,11.31,4.34,11.93,6.98
21-Jan-2010,67.21,175.27,3.27,13.52,14.18,16.82,3.38,8.21,4.20
22-Jan-2010,62.86,155.68,3.93,7.41,6.88,8.91,4.07,9.00,7.95
23-Jan-2010,69.99,155.26,6.46,15.32,8.71,18.68,2.98,10.39,4.92
24-Jan-2010,58.60,166.52,9.09,14.76,7.36,16.49,4.57,7.93,7.26
25-Jan-2010,67.54,131.81,7.64,14.26,6.37,18.36,5.53,8.57,9.56
26-Jan-2010,62.25,170.15,9.38,10.65,3.84,17.96,6.97,6.76,11.45
27-Jan-2010,73.46,135.21,6.53,8.35,5.47,17.35,8.07,8.75,16.66
28-Jan-2010,73.19,166.50,7.90,8.34,6.35,16.58,5.59,8.03,9.22
29-Jan-2010,70.14,142.50,9.17,7.94,3.50,13.48,3.79,10.22,9.32
30-Jan-2010,76.70,161.33,7.05,12.32,4.97,18.15,3.12,8.94,6.87
31-Jan-2010,68.70,160.24,8.19,6.37,4.29,11.29,3.93,10.64,10.65
1-Feb-2010,122.41,265.75,6.86,10.50,2.52,15.85,1.90,47.66,9.01
2-Feb-2010,75.43,175.39,6.48,7.68,5.83,18.16,4.05,14.74,9.91
3-Feb-2010,73.07,127.68,4.72,7.97,5.13,15.56,4.53,10.50,10.77
4-Feb-2010,75.10,166.38,5.53,8.51,9.92,18.24,3.22,8.89,9.21
5-Feb-2010,86.84,149.93,6.22,6.79,5.31,13.62,4.29,11.93,10.29
6-Feb-2010,92.17,174.87,6.70,11.52,12.29,15.93,4.59,3.90,8.54
7-Feb-2010,87.30,158.03,6.54,4.45,5.26,9.18,5.19,9.51,10.65
8-Feb-2010,87.67,162.01,5.73,9.28,8.18,15.69,4.56,12.89,7.94
9-Feb-2010,83.90,183.33,5.12,8.56,6.70,15.07,4.85,11.59,9.16
10-Feb-2010,92.94,146.44,6.93,7.54,5.77,15.89,6.48,14.65,8.85
11-Feb-2010,83.76,176.97,6.27,6.07,4.95,17.00,4.93,13.17,9.65
12-Feb-2010,90.23,148.83,7.12,6.03,4.93,15.91,6.53,15.55,10.83
13-Feb-2010,82.01,183.84,6.57,7.05,4.01,18.19,6.42,11.15,9.60
14-Feb-2010,86.32,147.99,9.51,4.55,3.47,13.46,7.92,14.78,13.88
15-Feb-2010,83.05,153.76,8.96,6.07,4.32,13.35,4.07,10.88,7.38
16-Feb-2010,75.65,163.59,8.01,3.08,3.96,10.53,4.53,11.76,8.82
17-Feb-2010,72.99,134.50,5.92,7.13,5.35,14.84,6.14,11.50,11.15
18-Feb-2010,67.97,163.29,6.43,6.19,4.81,12.64,3.92,9.73,12.42
19-Feb-2010,84.42,130.97,5.64,4.96,5.30,11.77,6.46,10.01,12.90
21-Feb-2010,79.96,141.96,6.88,5.40,4.79,11.48,5.19,13.00,11.02
22-Feb-2010,61.68,135.96,5.96,7.35,6.33,12.39,3.09,6.22,6.73
23-Feb-2010,65.14,129.25,9.60,5.13,3.87,8.55,2.86,7.20,7.52
24-Feb-2010,64.54,127.70,7.28,9.72,5.95,16.71,3.37,6.71,6.48
25-Feb-2010,65.22,162.57,6.93,5.71,4.63,12.94,3.63,8.45,9.65
26-Feb-2010,76.80,127.11,6.93,7.06,5.53,13.67,5.94,9.49,13.73
27-Feb-2010,62.11,160.16,7.23,5.79,5.77,12.31,3.27,7.26,11.05
28-Feb-2010,75.70,124.18,6.18,5.75,4.46,13.59,5.22,7.74,15.27
