Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
11-May-2009,71.77,0,10.9,4.2,5.18,10.34,5.47,9.07,15.71
12-May-2009,76.78,0,7.85,6.5,7.7,13.66,4.42,8.02,15.7
13-May-2009,95.51,0,9.81,3.84,3.87,12.57,5.17,10.65,21.09
14-May-2009,99.88,0,7.5,2.78,3.81,9.73,5.03,9.25,20.07
15-May-2009,91.94,0,6.8,3.14,3.79,10.45,5.8,6.72,22.75
16-May-2009,89.03,0,8.84,3.67,5.01,12,8.15,8.32,25.55
17-May-2009,81.76,0,8.27,4.88,4.47,10.61,3.4,6.96,15.97
18-May-2009,87.33,0,9.2,3.93,3.51,7.69,3.42,11.42,22.34
19-May-2009,86.5,0,6.79,5.14,5.19,11.33,5.41,9.25,15.58
20-May-2009,95.65,0,7.36,2.68,2.8,7.64,5.69,10.39,24.12
21-May-2009,97.94,0,9.11,4.3,6.72,13.35,8.62,10.99,21.56
22-May-2009,115.47,0,7.32,2.34,4.02,12.64,10.02,10.35,32.07
23-May-2009,92.8,0,5.01,2.41,9.28,14.76,17.29,11.27,24.6
24-May-2009,81.5,0,7.16,3.5,1.89,9.49,5.99,8.29,16.88
25-May-2009,77.66,0,7.16,3.36,2.95,7.98,2.21,10.88,16.02
26-May-2009,105.19,0,8.16,5.93,5.24,10.36,2.94,4.13,16.38
27-May-2009,98,0,9.31,3.8,3.72,7.54,3.98,11.51,25.57
28-May-2009,106.41,0,7.67,6.39,6.63,12.43,4.36,12.21,17.97
29-May-2009,92.77,0,9.87,3.5,3.21,7.98,3.7,11.2,20.8
30-May-2009,102.6,0,7.18,6.13,4.42,12.24,3.44,10.88,19.47
31-May-2009,80.85,0,9.19,5.84,3.95,13.33,3.23,8.3,16.02
01-Jun-2009,75.34,0,6.2,5.1,4.08,12.63,5.63,8.83,23.91
02-Jun-2009,107.58,0,7.45,4.68,4.99,18.42,7.65,7.58,20.79
03-Jun-2009,109.76,0,8.25,3.38,4.35,10.54,6.25,12.31,22.75
04-Jun-2009,105.62,0,8.16,8.39,9.14,12.91,5.27,10.52,20.38
05-Jun-2009,106.61,0,10.16,5.53,6.11,11.88,6.16,14.62,25.58
06-Jun-2009,101.85,0,5.06,5.55,4.64,12.87,3.97,8.84,17.33
07-Jun-2009,96.11,0,8.67,5.48,5.12,11.74,3.23,8.69,18.59
08-Jun-2009,99.48,0,9.92,4.96,4.13,12.39,5.73,9.45,21.51
10-Jun-2009,115.95,0,11.29,2.97,4.33,10.15,6.96,20.42,25.77
25-Jun-2009,114.62,257.24,7.74,3.00,3.37,14.01,8.09,11.31,24.64
26-Jun-2009,113.66,216.09,7.94,4.74,4.66,11.51,8.01,12.58,24.71
27-Jun-2009,102.64,251.21,4.93,1.92,4.87,6.60,4.94,5.53,27.14
28-Jun-2009,108.44,236.61,7.59,3.54,4.23,5.08,4.24,10.65,22.64
29-Jun-2009,96.14,215.69,5.58,5.84,5.41,10.32,3.51,9.54,13.18
30-Jun-2009,89.68,276.63,8.48,4.15,5.54,10.78,5.74,10.18,22.35
1-Jul-2009,92.70,172.22,4.03,6.00,5.96,13.58,5.85,11.65,18.50
3-Jul-2009,111.59,180.97,8.39,4.28,5.64,11.91,7.57,9.81,28.51
4-Jul-2009,97.49,245.83,9.35,6.96,6.94,12.43,4.13,9.32,22.13
5-Jul-2009,103.10,210.98,9.72,6.38,7.64,15.54,9.69,10.06,27.82
6-Jul-2009,96.35,231.56,8.07,5.65,7.06,14.06,6.00,10.93,17.04
7-Jul-2009,101.42,286.22,8.25,6.64,4.30,12.53,6.84,12.28,44.56
8-Jul-2009,107.67,260.98,9.80,4.76,8.12,14.02,8.99,11.18,37.55
9-Jul-2009,102.33,335.87,13.42,4.78,3.95,11.74,5.40,10.34,26.98
10-Jul-2009,134.34,217.14,11.06,2.31,3.30,7.95,7.79,10.36,26.62
12-Jul-2009,91.27,221.29,8.11,3.38,3.64,7.66,3.32,11.90,22.74
13-Jul-2009,86.59,269.69,5.73,4.29,6.23,9.48,4.61,8.71,14.50
14-Jul-2009,142.48,253.35,9.12,6.89,5.64,13.89,8.18,11.35,24.04
15-Jul-2009,93.09,204.05,8.51,5.34,3.73,10.33,3.89,9.56,15.80
16-Jul-2009,112.09,277.11,11.58,4.47,3.85,8.53,3.48,9.52,24.33
17-Jul-2009,111.55,223.48,7.67,4.06,3.37,9.19,5.64,11.28,25.02
18-Jul-2009,96.74,243.37,7.78,6.26,6.88,12.80,5.06,8.20,21.11
19-Jul-2009,94.69,188.20,11.65,9.02,6.76,16.36,8.41,7.36,22.04
20-Jul-2009,91.97,249.69,11.45,7.83,8.37,14.68,6.24,7.19,19.04
21-Jul-2009,106.70,247.43,9.63,5.63,5.60,13.55,8.46,9.30,25.01
22-Jul-2009,96.43,228.16,25.35,5.83,6.69,12.02,7.94,9.18,20.92
23-Jul-2009,109.25,318.63,10.19,3.93,3.97,10.47,7.28,11.65,32.90
24-Jul-2009,98.48,279.48,11.98,10.20,6.52,11.40,6.34,10.24,23.53
25-Jul-2009,93.18,353.93,8.44,4.69,6.24,11.91,5.03,12.63,22.82
26-Jul-2009,107.82,277.75,8.63,4.39,4.18,10.29,6.21,10.10,22.11
28-Jul-2009,114.53,190.76,9.34,2.67,4.68,8.22,5.78,9.42,35.49
29-Jul-2009,134.59,220.16,11.44,9.05,8.90,12.97,4.02,4.34,28.77
30-Jul-2009,113.59,217.42,12.24,5.84,6.66,10.31,4.92,10.90,33.70
31-Jul-2009,109.64,219.41,10.11,11.65,8.69,16.01,5.86,11.63,22.26
1-Aug-2009,126.26,256.77,11.00,7.23,7.00,16.85,5.83,12.31,28.11
2-Aug-2009,133.29,219.50,11.57,9.19,7.02,17.39,7.35,12.45,22.86
3-Aug-2009,105.57,265.36,9.36,4.55,3.79,15.49,4.13,9.68,19.38
4-Aug-2009,109.30,216.23,11.27,3.05,3.10,10.86,4.96,10.14,26.70
5-Aug-2009,107.39,266.92,9.64,5.51,5.29,12.42,3.64,8.94,18.71
6-Aug-2009,110.23,221.63,10.52,2.55,1.59,9.54,4.24,11.10,26.66
7-Aug-2009,115.07,225.95,8.66,2.14,3.04,8.18,3.14,12.84,16.84
8-Aug-2009,94.90,248.06,14.46,4.34,2.25,8.76,2.20,14.29,17.50
9-Aug-2009,90.81,194.92,11.91,5.48,4.41,12.46,1.99,13.12,18.48
11-Aug-2009,118.37,196.12,11.01,4.14,3.05,10.85,3.92,12.58,20.92
13-Aug-2009,110.70,251.29,9.48,5.02,3.92,9.01,3.49,14.42,20.10
14-Aug-2009,100.45,234.18,9.23,7.18,4.99,9.52,2.41,8.95,10.55
15-Aug-2009,79.77,189.61,11.88,4.38,3.70,7.81,2.39,8.94,13.00
16-Aug-2009,104.84,218.10,8.53,7.61,5.06,13.38,4.28,11.42,12.77
18-Aug-2009,134.08,163.27,6.17,4.61,5.72,11.45,4.94,9.98,36.76
19-Aug-2009,104.13,244.07,7.49,5.66,12.55,19.00,10.78,8.03,28.28
20-Aug-2009,99.57,188.01,11.21,6.78,4.09,13.83,5.00,10.52,18.99
21-Aug-2009,63.33,194.86,6.84,4.32,4.47,9.51,3.01,7.06,12.21
22-Aug-2009,63.35,154.30,6.68,4.54,4.32,8.41,3.45,8.77,13.00
23-Aug-2009,59.69,161.05,6.57,6.13,4.91,10.65,2.10,9.16,7.09
24-Aug-2009,63.22,185.80,9.51,4.03,3.74,10.23,2.35,9.32,15.86
25-Aug-2009,73.01,146.23,6.93,4.26,4.49,12.12,5.44,11.11,11.32
26-Aug-2009,73.45,183.71,5.73,3.86,4.92,11.93,4.31,8.91,11.75
27-Aug-2009,79.71,131.11,7.07,3.11,5.51,11.54,7.04,10.34,14.96
28-Aug-2009,67.34,178.36,6.75,3.19,4.68,12.77,5.01,8.61,15.28
29-Aug-2009,71.24,149.39,5.79,3.21,5.58,10.00,7.83,9.91,19.72
30-Aug-2009,86.19,199.18,4.52,4.21,6.27,10.16,5.54,4.57,10.19
31-Aug-2009,80.53,174.16,4.08,4.75,5.96,9.05,4.27,12.32,11.59
1-Sep-2009,81.86,151.78,3.75,6.15,6.65,12.27,4.65,11.35,15.70
2-Sep-2009,70.94,177.35,8.54,5.46,4.45,8.92,3.40,9.05,14.48
3-Sep-2009,80.85,150.12,6.46,8.25,6.66,14.19,6.64,11.81,17.77
4-Sep-2009,73.86,201.47,5.94,4.75,6.25,8.32,3.62,7.92,13.50
5-Sep-2009,64.05,128.65,9.40,8.42,5.59,16.69,5.04,8.18,6.92
6-Sep-2009,73.37,175.93,10.31,9.70,6.17,16.11,3.29,7.25,9.24
7-Sep-2009,73.13,173.41,12.23,4.86,3.75,7.78,3.01,9.75,13.72
8-Sep-2009,62.67,159.33,10.26,6.57,5.50,11.81,3.91,7.54,9.57
9-Sep-2009,69.16,200.69,7.93,2.94,2.68,5.99,1.92,8.58,9.96
10-Sep-2009,75.13,170.62,8.99,3.48,1.98,7.55,2.97,10.51,8.99
11-Sep-2009,79.72,232.89,8.72,4.07,4.29,10.34,2.37,9.79,8.79
12-Sep-2009,71.31,127.50,14.64,2.50,0.94,8.10,1.18,7.55,7.09
14-Sep-2009,88.52,147.29,8.92,3.38,2.75,6.97,2.51,8.40,14.76
15-Sep-2009,66.21,180.06,12.32,7.88,6.12,11.45,5.14,6.97,14.67
16-Sep-2009,61.07,134.68,14.13,3.47,4.23,6.34,3.06,8.88,10.97
17-Sep-2009,71.45,144.25,8.78,6.77,5.81,13.72,5.35,10.06,12.70
19-Sep-2009,69.15,129.02,13.30,9.53,3.54,13.20,2.95,8.49,8.57
21-Sep-2009,68.09,134.10,9.24,4.83,5.91,12.92,6.26,8.72,13.03
22-Sep-2009,61.00,165.23,5.74,6.19,8.10,13.36,4.71,7.12,8.72
23-Sep-2009,58.17,130.61,11.70,5.93,3.83,12.52,3.76,7.84,7.34
24-Sep-2009,65.69,143.18,6.76,7.62,5.84,11.26,3.59,7.58,5.05
26-Sep-2009,64.98,144.03,9.34,10.53,5.67,14.81,3.44,7.62,5.10
27-Sep-2009,51.74,183.77,5.43,5.42,4.42,10.71,2.78,5.43,5.18
28-Sep-2009,61.43,123.31,9.74,5.96,4.72,12.52,5.00,5.86,7.07
29-Sep-2009,49.98,146.31,8.82,6.48,7.78,14.08,3.44,4.22,6.36
30-Sep-2009,61.05,121.38,15.54,5.52,5.32,11.12,4.82,5.28,10.46
1-Oct-2009,101.13,158.45,12.82,8.76,6.66,14.99,4.48,2.48,9.26
3-Oct-2009,74.77,133.57,10.84,9.30,5.72,12.88,5.28,9.34,15.64
4-Oct-2009,62.24,152.32,11.31,8.40,7.43,16.30,3.67,6.14,9.15
